1,18,1.2833,1.2833
2,13,0.024,1.3073
3,37,1.781,3.0883
4,21,0.0919,3.1802
5,27,0.1279,3.3081
6,23,0.0929,3.401
7,11,0.025,3.426
8,22,0.075,3.501
9,41,0.1749,3.6759
10,67,0.1759,3.8518
11,21,0.053,3.9048
12,30,0.0989,4.0037
13,9,0.021,4.0247
14,11,0.043,4.0677
15,18,0.063,4.1307
16,55,0.1959,4.3266
17,28,0.079,4.4056
18,43,0.1439,4.5495
19,18,0.079,4.6285
20,16,0.0869,4.7154
21,9,0.052,4.7674
22,16,0.064,4.8314
23,27,0.1379,4.9693
24,9,0.034,5.0033
25,26,0.087,5.0903
26,34,0.1839,5.2742
27,29,0.1259,5.4001
28,10,0.028,5.4281
29,25,0.08,5.5081
30,9,0.012,5.5201
31,9,0.033,5.5531
32,16,0.048,5.6011
33,11,0.042,5.6431
34,8,0.026,5.6691
35,18,0.067,5.7361
36,15,0.05,5.7861
37,12,0.038,5.8241
38,22,0.053,5.8771
39,8,0.018,5.8951
40,13,0.043,5.9381
41,11,0.04,5.9781
42,9,0.039,6.0171
43,14,0.059,6.0761
44,26,0.0899,6.166
45,8,0.033,6.199
46,10,0.052,6.251
47,9,0.047,6.298
48,13,0.047,6.345
49,18,0.077,6.422
50,10,0.031,6.453
51,24,0.083,6.536
52,19,0.043,6.579
53,11,0.021,6.6
54,22,0.063,6.663
55,22,0.057,6.72
56,10,0.026,6.746
57,9,0.029,6.775
58,10,0.044,6.819
59,10,0.033,6.852
60,8,0.03,6.882
61,11,0.018,6.9
62,11,0.046,6.946
63,10,0.043,6.989
64,14,0.069,7.058
65,22,0.083,7.141
66,18,0.071,7.212
67,9,0.037,7.249
68,10,0.025,7.274
69,26,0.0999,7.3739
70,12,0.057,7.4309
71,14,0.028,7.4589
72,10,0.023,7.4819
73,9,0.031,7.5129
74,14,0.049,7.5619
75,10,0.031,7.5929
76,9,0.023,7.6159
77,12,0.049,7.6649
78,11,0.047,7.7119
79,9,0.052,7.7639
80,10,0.049,7.8129
81,14,0.071,7.8839
82,18,0.082,7.9659
83,10,0.053,8.0189
84,12,0.06,8.0789
85,16,0.072,8.1509
86,11,0.054,8.2049
87,10,0.047,8.2519
88,11,0.059,8.3109
89,10,0.044,8.3549
90,9,0.05,8.4049
91,9,0.04,8.4449
92,17,0.083,8.5279
93,12,0.047,8.5749
94,10,0.048,8.6229
95,10,0.043,8.6659
96,16,0.078,8.7439
97,10,0.029,8.7729
98,9,0.026,8.7989
99,10,0.044,8.8429
100,20,0.084,8.9269
101,11,0.022,8.9489
102,8,0.014,8.9629
103,40,0.1149,9.0778
104,16,0.049,9.1268
105,13,0.046,9.1728
106,15,0.057,9.2298
107,8,0.02,9.2498
108,10,0.037,9.2868
109,13,0.064,9.3508
110,14,0.066,9.4168
111,15,0.062,9.4788
112,15,0.071,9.5498
113,21,0.0919,9.6417
114,14,0.084,9.7257
115,13,0.044,9.7697
116,8,0.028,9.7977
117,30,0.1029,9.9006
118,9,0.022,9.9226
119,10,0.027,9.9496
120,11,0.027,9.9766
121,12,0.038,10.0146
122,13,0.06,10.0746
123,11,0.034,10.1086
124,13,0.047,10.1556
125,15,0.049,10.2046
126,12,0.075,10.2796
127,13,0.073,10.3526
128,13,0.065,10.4176
129,11,0.032,10.4496
130,19,0.0909,10.5405
131,23,0.1099,10.6504
132,33,0.1279,10.7783
133,12,0.025,10.8033
134,16,0.047,10.8503
135,12,0.043,10.8933
136,13,0.074,10.9673
137,13,0.058,11.0253
138,15,0.073,11.0983
139,11,0.062,11.1603
140,13,0.061,11.2213
141,16,0.08,11.3013
142,36,0.1649,11.4662
143,14,0.066,11.5322
144,21,0.058,11.5902
145,17,0.044,11.6342
146,35,0.1239,11.7581
147,22,0.1009,11.859
148,39,0.1979,12.0569
149,24,0.1269,12.1838
150,50,0.2549,12.4387
151,24,0.1289,12.5676
152,44,0.2389,12.8065
153,65,0.3238,13.1303
154,60,0.3368,13.4671
155,53,0.2559,13.723
156,42,0.1999,13.9229
157,23,0.1009,14.0238
158,27,0.1269,14.1507
159,28,0.1069,14.2576
160,20,0.081,14.3386
161,107,0.4477,14.7863
162,72,0.2529,15.0392
163,99,0.3558,15.395
164,136,0.5807,15.9757
165,105,0.5607,16.5364
166,71,0.3518,16.8882
167,165,0.8485,17.7367
168,129,0.6536,18.3903
169,82,0.2928,18.6831
170,142,0.6986,19.3817
171,30,0.071,19.4527
172,193,0.7336,20.1863
173,211,0.8665,21.0528
174,168,0.6097,21.6625
175,93,0.4208,22.0833
176,166,0.7596,22.8429
177,131,0.6107,23.4536
178,137,0.6106,24.0642
179,176,0.7915,24.8557
180,221,1.0434,25.8991
181,118,0.5067,26.4058
182,150,0.6386,27.0444
183,315,1.2573,28.3017
184,113,0.3578,28.6595
185,82,0.3498,29.0093
186,91,0.4018,29.4111
187,98,0.3348,29.7459
188,153,0.6037,30.3496
189,178,0.6676,31.0172
190,336,1.3692,32.3864
191,233,0.6916,33.078
192,414,1.3122,34.3902
193,257,0.6986,35.0888
194,190,0.6077,35.6965
195,221,0.6736,36.3701
196,131,0.4158,36.7859
197,141,0.5547,37.3406
198,176,0.7166,38.0572
199,167,0.6706,38.7278
200,261,0.9485,39.6763
201,202,0.8115,40.4878
202,203,0.7576,41.2454
203,298,1.1713,42.4167
204,98,0.2818,42.6985
205,239,0.7046,43.4031
206,156,0.6236,44.0267
207,178,0.7406,44.7673
208,241,1.0554,45.8227
209,178,0.7116,46.5343
210,199,0.8915,47.4258
211,322,1.2253,48.6511
212,326,0.9884,49.6395
213,281,1.0034,50.6429
214,436,1.3662,52.0091
215,291,1.0354,53.0445
216,378,1.3232,54.3677
217,266,0.8715,55.2392
218,125,0.4697,55.7089
219,459,1.5361,57.245
220,143,0.4517,57.6967
221,132,0.4927,58.1894
222,144,0.5637,58.7531
223,279,1.0984,59.8515
224,126,0.6286,60.4801
225,500,2.3037,62.7838
226,432,1.671,64.4548
227,277,0.7726,65.2274
228,171,0.6396,65.867
229,392,1.3072,67.1742
230,242,0.7985,67.9727
231,60,0.2589,68.2316
232,216,0.7566,68.9882
233,162,0.6376,69.6258
234,266,0.9604,70.5862
235,321,1.2203,71.8065
236,202,0.7806,72.5871
237,294,1.1663,73.7534
238,378,1.4412,75.1946
239,417,1.6281,76.8227
240,374,1.3582,78.1809
241,295,1.1354,79.3163
242,394,1.2293,80.5456
243,198,0.8305,81.3761
244,259,1.0464,82.4225
245,453,1.5671,83.9896
246,290,1.1613,85.1509
247,61,0.2269,85.3778
248,403,1.6071,86.9849
249,398,1.6261,88.611
250,283,1.1593,89.7703
251,500,1.749,91.5193
252,342,1.0254,92.5447
253,212,0.8365,93.3812
254,261,1.0234,94.4046
255,245,1.0374,95.442
256,242,0.9085,96.3505
257,440,1.8339,98.1844
258,500,2.0068,100.1912
259,467,1.8809,102.0721
260,429,1.5461,103.6182
261,222,0.9205,104.5387
262,500,1.818,106.3567
263,486,1.794,108.1507
264,500,1.9199,110.0706
265,267,1.0574,111.128
266,500,1.716,112.844
267,500,1.8649,114.7089
268,500,1.8739,116.5828
269,436,1.712,118.2948
270,479,1.8389,120.1337
271,500,2.0638,122.1975
272,500,1.8809,124.0784
273,500,1.677,125.7554
274,500,1.756,127.5114
275,243,0.6326,128.144
276,500,1.4392,129.5832
277,500,1.5031,131.0863
278,500,1.5801,132.6664
279,127,0.3268,132.9932
280,500,1.4352,134.4284
281,500,1.5461,135.9745
282,498,1.4012,137.3757
283,500,1.4792,138.8549
284,282,0.8445,139.6994
285,360,1.0694,140.7688
286,500,1.4712,142.24
287,500,1.5371,143.7771
288,156,0.4078,144.1849
289,97,0.2688,144.4537
290,410,1.0524,145.5061
291,266,0.7486,146.2547
292,318,0.9085,147.1632
293,251,0.7696,147.9328
294,233,0.6326,148.5654
295,104,0.2109,148.7763
296,165,0.6067,149.383
297,500,1.3652,150.7482
298,225,0.7166,151.4648
299,409,1.2753,152.7401
300,155,0.3758,153.1159
301,122,0.3878,153.5037
302,188,0.5647,154.0684
303,500,1.2413,155.3097
304,275,0.6836,155.9933
305,500,1.726,157.7193
306,79,0.3448,158.0641
307,263,0.9714,159.0355
308,227,0.8305,159.866
309,500,1.818,161.684
310,391,1.3023,162.9863
311,361,1.1723,164.1586
312,500,1.6211,165.7797
313,448,1.3752,167.1549
314,500,1.5551,168.71
315,500,1.3742,170.0842
316,500,1.4292,171.5134
317,326,1.1124,172.6258
318,397,1.2403,173.8661
319,500,1.1993,175.0654
320,500,1.3662,176.4316
321,436,1.3112,177.7428
322,500,1.5741,179.3169
323,500,1.4991,180.816
324,500,1.2013,182.0173
325,500,1.0014,183.0187